Identifier	Character	Dialogue	Filename	Line Number
akt2_drzewo_0c3a5620		witaj w lesie, przed Tobą stoi Drzewo	game/akt ii.rpy	82
akt2_monument_1fa858e6		Przed Tobą wznosi się obelisk upamiętniający wszystkich tych wspaniałych, którzy stworzyli tę krainę taką jaką jest	game/akt ii.rpy	87
akt2_wioska_47f59ab5		witaj w wiosce	game/akt ii.rpy	93
akt2_tawerna_5f242947		witaj w tawernie	game/akt ii.rpy	98
akt2_wiocha1_6fad6ada		witaj w lokacji 1 w Wiosce	game/akt ii.rpy	108
akt2_wiocha2_f19d50ad		witaj w lokacji 2 w Wiosce	game/akt ii.rpy	113
akt2_wiocha3_cd53660c		witaj w lokacji 3 w Wiosce	game/akt ii.rpy	118
epizod7n_6d06f760		Lia przebudziła się dość wcześnie, wyjątkowo wypoczęta.	game/demostuff.rpy	20
epizod7n_8f2a3369		Wczorajsza decyzja o wczesnym pójściu spać najwidoczniej już się opłaciła.	game/demostuff.rpy	23
epizod7n_52c8921a		Usiadła na łóżku. Przeciągając się bezgłośnie, zauważyła kartkę przy łóżku.	game/demostuff.rpy	24
epizod7n_9f872575		Odruchowo sięgnęła po nią i zaczęła czytać.	game/demostuff.rpy	25
demo_wioska_d8f92938	guard	Nie możesz tu obecnie wejść	game/demostuff.rpy	85
demo_monument_7d0c2fee	guard	stój! Tu trwa budowa. Wstęp wzbroniony!	game/demostuff.rpy	93
demo_mon_str_1d5672b7	guard	Jest tu budowany monument na cześć Wspaniałych, którzy przyczynili się do budowy Królestwa. Jeśli chcesz do nich dołączyć możesz to zrobić {a=https://gamedays.pl}tutaj{/a}.	game/demostuff.rpy	96
demo_mon_str_0617f05e	guard	{size=20}Moim zdaniem to nie ma tak, że dobrze albo że nie dobrze. Gdybym miał powiedzieć, co cenię w życiu najbardziej, powiedziałbym, że ludzi. Ekhm… Ludzi, którzy podali mi pomocną dłoń, kiedy sobie nie radziłem, kiedy byłem sam. I co ciekawe, to właśnie przypadkowe spotkania wpływają na nasze życie. Chodzi o to, że kiedy wyznaje się pewne wartości, nawet pozornie uniwersalne, bywa, że nie znajduje się zrozumienia, które by tak rzec, które pomaga się nam rozwijać. Ja miałem szczęście, by tak rzec, ponieważ je znalazłem. I dziękuję życiu. Dziękuję mu, życie to śpiew, życie to taniec, życie to miłość. Wielu ludzi pyta mnie o to samo, ale jak ty to robisz?, skąd czerpiesz tę radość? A ja odpowiadam, że to proste, to umiłowanie życia, to właśnie ono sprawia, że dzisiaj na przykład stoję tu na straży, a jutro… kto wie, dlaczego by nie, oddam się pracy społecznej i będę ot, choćby sadzić… znaczy… marchew.{/size}	game/demostuff.rpy	100
demo_mon_str_c2097490	guard	pa	game/demostuff.rpy	104
epizod1_14fca092		Harmider ciągnący się za opuszczającymi powoli Tawernę gośćmi w końcu zmieniał się w utęskniony spokój.	game/script.rpy	192
epizod1_7ee54bf8		Lia zamknęła drzwi za ostatnim gościem i oparła się o ścianę, zmęczona całym dniem. Ciszę zakłócał jedynie trzaskający w kominku ogień.	game/script.rpy	193
epizod1_a20cefa7		...	game/script.rpy	196
epizod1_63bd5bf4		Po kilku dłuższych chwilach dźwięk ustał. Martwą ciszę przerwało głośne westchnięcie.	game/script.rpy	201
epizod1_8196c986	p1	Ehh, mam już {b}dość{/b}. Kolejny bezsensowny dzień w tej durnej pracy...	game/script.rpy	203
epizod1_cb25603b	p1	Ah, zrobiłabym coś ze sobą, ale nawet nie wiem co.	game/script.rpy	204
epizod1_c9ffea13	p1	Dlaczego życie musi być takie trudne i skomplikowane?	game/script.rpy	205
epizod1_ed03d3e6	p1	Mogłabym pójść na spacer, ale z drugiej strony jutro ciężki dzień. Mam swoje obowiązki!	game/script.rpy	206
epizod1_34259952	p1	Nie dam rady wstać i znów zmuszą mnie do dodatkowej pracy. Do kitu to wszystko!	game/script.rpy	207
epizod1_7b0d5973	p1	Ehh, może Ty mi powiesz co powinnam zrobić, co?	game/script.rpy	228
epizod1_f03a1cbb	gr	Musisz złamać rutynę. Chodźmy na spacer!	game/script.rpy	233
epizod1_9db5294d	p1	Masz rację, chodźmy!	game/script.rpy	234
epizod1_f6e757f5	gr	Lepiej idź spać. Jeśli będziesz jutro nieżywa to rodzice znów każą Ci więcej pracować i nigdzie więcej nie wyjdziesz!	game/script.rpy	238
epizod1_69ac56f3	p1	Faktycznie, lepiej się wyspać. Idę do pokoju.	game/script.rpy	239
e1u1b_4613dae5		Obrażona na cały otaczający świat, Lia ruszyła w stronę swojego pokoju.	game/script.rpy	247
e1u1b_767b930e		Pokonała liczne (a przynajmniej tak sądziła) stopnie schodów.	game/script.rpy	248
e1u1b_ea3e6794		Dotarła do swojego pokoju i zatrzasnęła za sobą drzwi. Wydały one huk głośniejszy niż się tego spodziewała.	game/script.rpy	249
e1u1b_d4898362		Na krótką chwilę zawładnął nią strach, że kogoś obudziła.	game/script.rpy	250
e1u1b_216a8cf6		Po chwili niewzburzona niczym cisza przegoniła strach i przywróciła w jej oczach błysk nienawiści do świata.	game/script.rpy	251
e1u1b_98e26ea2		Lia usiadła na łóżku, spojrzała w Twoją stronę i powiedziała:	game/script.rpy	252
e1u1b_4c752bd1	p1	Nienawidzę ich wszystkich... Wolałabym mieć inne życie...	game/script.rpy	254
e1u1b_1bcaaff9	p1	Ahhh.	game/script.rpy	255
e1u1b_a3028919	p1	Dobranoc.	game/script.rpy	260
e1u1a_dbb318f1		Niedaleko Tawerny znajduje się las.	game/script.rpy	310
e1u1a_fd522f4c		Chociaż można powiedzieć, że to Tawerna znajduje się niedaleko lasu.	game/script.rpy	311
e1u1a_9561fb0c		Rośnie on tutaj od przynajmniej kilku wieków. A tak przynajmniej twierdzą najstarsze elfy.	game/script.rpy	312
e1u1a_f16110d0		Lia czasem wymyka się tutaj, aby odpocząć od torturującej codzienności.	game/script.rpy	313
e1u1a_f51b52d2		Nie korzysta jednak z głównej ścieżki wydartej wiele lat temu przez ludzi (na spółkę z krasnoludami). Chodziło chyba wtedy o jakąś nową kopalnię.	game/script.rpy	314
e1u1a_80674a1a		Po pewnym czasie ktoś dokończył dzieła i połączył ścieżkę z okoliczną wsią.	game/script.rpy	315
e1u1a_7f68c637		Lia delikatnie westchnęła nad losem zdegradowanego środowiska po czym czmychnęła w kierunku swojej własnej, sekretnej ścieżki.	game/script.rpy	327
e1u1a_685f0d48		Mijając wiekowe drzewa pomyślała, że ludzie pochopnie oceniają wszystko na pierwszy rzut oka.	game/script.rpy	328
e1u1a_e8e613ef		Nie interesuje ich wnętrze.	game/script.rpy	329
e1u1a_33d9302a		Czy to istot czy chociażby tego lasu.	game/script.rpy	330
e1u1a_1a27caec		"Chociaż może to dla Ciebie i lepiej" - pomyślała Lia.	game/script.rpy	331
e1u1a_7d8e2e98		Spojrzała uważniej na korony pobliskich drzew.	game/script.rpy	332
e1u1a_9fbca162		Las opowiedział jej tylko delikatnym podmuchem wiatru.	game/script.rpy	333
e1u1a_408f351b		Szelest liści wyprowadził ją w idealnym momencie z głębszych zakamarków umysłu.	game/script.rpy	334
e1u1a_9941ec23		Właśnie dotarła do miejsca, w którym należało zanurzyć się w morze drzew.	game/script.rpy	335
e1u1a_65becf37		Przeciskanie się przez leśne gęstwiny nie należało do najprzyjemniejszych rzeczy.	game/script.rpy	336
e1u1a_ce849e32		Jednak świadomość nagrody czającej się za tą niewielką trudnością była wystarczającą motywacją.	game/script.rpy	337
e1u1a_c26ff862		Po dłuższej chwili Lia przedostała się w końcu do ścieżki i westchnęła.	game/script.rpy	338
